asset_age_days,assignment_count,repair_count,maintenance_count,damage_report_count,days_since_maintenance,warranty_active,condition_score,status_score,health_status
249,3,1,0,0,249,1,3,3,HEALTHY
116,1,0,0,0,116,1,4,3,HEALTHY
90,0,0,0,0,90,1,4,3,HEALTHY
463,7,1,2,0,240,0,3,3,HEALTHY
164,2,1,0,0,164,1,4,3,HEALTHY
61,0,0,0,0,61,1,4,3,HEALTHY
173,1,1,1,0,173,0,3,3,HEALTHY
17,3,0,0,0,17,1,4,3,HEALTHY
1009,14,4,6,1,147,0,1,3,REPLACE_SOON
293,1,0,1,0,28,1,4,3,HEALTHY
279,1,0,0,0,279,1,4,2,HEALTHY
1040,13,3,6,1,71,0,1,1,MAINTENANCE_REQUIRED
285,3,0,1,1,29,1,4,3,HEALTHY
182,2,1,0,0,182,1,4,3,HEALTHY
93,1,0,0,0,93,1,4,3,HEALTHY
244,4,0,0,0,244,0,3,3,HEALTHY
580,9,1,6,0,227,0,2,3,MAINTENANCE_REQUIRED
222,5,1,0,0,222,1,4,3,HEALTHY
19,1,0,0,0,19,1,4,3,HEALTHY
141,1,1,0,0,141,1,4,3,HEALTHY
960,17,5,8,0,21,0,1,1,MAINTENANCE_REQUIRED
27,0,1,0,0,27,1,4,3,HEALTHY
1246,17,7,10,3,44,0,1,1,REPLACE_SOON
845,20,5,8,0,62,1,2,3,MAINTENANCE_REQUIRED
406,2,1,2,0,24,0,3,3,HEALTHY
41,1,1,0,0,41,1,4,3,HEALTHY
378,4,0,4,0,79,0,3,3,HEALTHY
179,3,0,0,0,179,1,4,3,HEALTHY
22,0,0,0,0,22,1,4,3,HEALTHY
66,1,0,0,0,66,1,4,3,HEALTHY
493,7,0,1,1,49,1,4,3,HEALTHY
409,5,0,0,0,409,1,3,2,MAINTENANCE_REQUIRED
51,1,1,0,0,51,1,4,3,HEALTHY
510,13,2,4,0,225,1,3,3,HEALTHY
261,5,0,1,0,111,1,4,3,HEALTHY
794,13,2,5,0,10,0,2,3,MAINTENANCE_REQUIRED
58,0,1,0,0,58,1,4,3,HEALTHY
1486,28,5,7,0,12,0,1,1,MAINTENANCE_REQUIRED
77,3,0,0,0,77,1,4,3,HEALTHY
53,2,0,0,0,53,1,4,3,HEALTHY
508,8,3,3,1,76,0,2,3,MAINTENANCE_REQUIRED
